Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup	BasinId	elev_mean	slope_mean	area_gages2	runoff_ratio	baseflow_index	stream_elas
2	76	0	0.549919	0.608	1.657939	1.203092	1.079509	2.471387	1.785085	0.743553	12445	-10.3	0.619	2	1613050	261.6	35.54433	27.9	0.401052266	0.418222661	2.081062626
2	77	0	0.37682	0.503	3.966747	2.246276	1.597643	5.025238	4.039866	0.646687	7519	-28.9	0.576	2	1620500	786.35	74.979	44.74	0.480365977	0.414732516	1.983934882
2	78	0	0.591723	0.759	1.691186	0.953035	0.939157	2.646867	2.395837	0.779456	12098	-1.5	0.76	2	1632000	543.76	51.70815	543.36	0.322975927	0.39134057	1.673041167
2	79	0	0.570865	0.745	0.985399	0.775019	0.844837	1.504294	1.395227	0.772655	12332	9	0.757	2	1632900	417.29	48.62437	245.05	0.274818639	0.592229402	2.658132698
2	80	0	0.512558	0.647	1.538642	0.983733	1.033763	2.20391	1.744414	0.719866	12409	5.1	0.65	2	1634500	344.44	47.4082	263.98	0.332469035	0.482440402	2.881623355
2	81	0	0.560589	0.6	1.627829	1.029309	1.004808	2.455787	1.688503	0.751518	12427	-2.4	0.601	2	1638480	155.98	16.88797	232	0.32843219	0.488001358	2.206750659
2	82	0	0.673835	0.785	1.046864	1.11885	1.202874	1.833113	1.648228	0.825449	12422	7.5	0.793	2	1639500	198.1	11.61235	267.18	0.352793995	0.56352095	1.703915879
2	83	0	0.714405	0.761	1.013734	0.967772	0.953063	1.896994	1.551083	0.845726	12472	-1.5	0.761	2	1644000	187.25	23.95326	859.17	0.32939632	0.513835161	2.709998529
2	84	0	0.494882	0.536	1.825107	0.880232	0.909117	2.568086	1.647769	0.706558	12409	3.3	0.537	2	1658500	97.44	6.88385	19.34	0.297140264	0.375389589	1.903958389
2	85	0	0.745352	0.851	0.910929	1.065004	1.110103	1.805227	1.711231	0.867441	12501	4.2	0.855	2	1664000	216.1	30.32647	1605.1	0.354341945	0.565654913	1.62412646
2	86	0	0.582832	0.696	1.474427	1.194452	1.317205	2.282891	1.900633	0.76804	12491	10.3	0.709	2	1666500	201.59	24.98287	463.15	0.380531963	0.587109483	1.833380722
2	87	0	0.683864	0.793	1.173877	1.137334	1.20687	2.087868	1.876565	0.830448	12497	6.1	0.8	2	1667500	193.47	23.44026	1209.75	0.361178516	0.563942018	1.985145399
2	88	0	0.715364	0.744	0.689883	0.977346	1.014621	1.293146	1.031345	0.847772	12389	3.8	0.745	2	1669000	42.94	4.09652	71.84	0.300022815	0.668811677	1.425872663
