Dataset,NSE,KGE,KGE*,RMSE,mean_Yo,mean_Yp,sd_Yo,sd_Yp,rho,N,Normalized?
5,0.899793,0,0.927,0.315293,0.000095,0,1.000192,0.94851,0.948574,120,1
5,0.900864,0.554,0.928,0.313539,0.000003,0.000002,0.999986,0.949026,0.949139,120,1
5,0.89718,0.117,0.926,0.319166,-0.000001,-0.000002,0.999531,0.947278,0.947196,120,1
5,0.870517,-0.019,0.905,0.358298,0.000059,-0.000001,0.999899,0.933094,0.933015,120,1
5,0.880784,-0.023,0.913,0.343804,0.000076,-0.000001,0.999909,0.938425,0.938501,120,1
5,0.887235,-0.006,0.918,0.334403,0.000119,0,1.000001,0.941813,0.941932,120,1
5,0.879415,-0.007,0.912,0.345806,0.0001,0,1.000008,0.937788,0.937772,120,1
5,0.814319,-0.004,0.862,0.429213,0.000027,0,1.000246,0.902444,0.902396,120,1
5,0.897081,0.145,0.925,0.319381,-0.000032,-0.000005,0.999718,0.947138,0.947143,120,1
5,0.89675,-0.012,0.925,0.319952,-0.000095,0.000001,0.999899,0.947017,0.946969,120,1
5,0.898143,0.001,0.926,0.317762,0.000207,0.000001,0.999824,0.947627,0.947704,120,1
5,0.900544,0,0.928,0.313992,-0.00053,-0.000002,0.999818,0.948853,0.94897,120,1
5,0.898105,-0.004,0.926,0.317845,0.000192,0,0.999896,0.947655,0.947684,120,1
5,0.898826,-0.005,0.926,0.316758,0.000384,-0.000001,1.000023,0.947987,0.948064,120,1
5,0.893769,0.005,0.923,0.324525,0.000096,0.000001,0.999862,0.94543,0.945394,120,1
5,0.917099,-0.056,0.94,0.286788,-0.000022,0.000001,1.000229,0.957605,0.957653,120,1
5,0.913675,0.005,0.938,0.292582,-0.000102,-0.000001,0.999993,0.955791,0.955864,120,1
5,0.92149,-0.012,0.943,0.279024,-0.000119,0.000001,0.999987,0.959886,0.959943,120,1
5,0.904967,-0.023,0.931,0.306988,-0.000072,0.000001,1.000006,0.95135,0.951298,120,1
5,0.910114,0.004,0.935,0.298462,0.000156,0.000001,0.999677,0.953953,0.953999,120,1
5,0.904408,-0.012,0.931,0.307987,-0.000183,0.000002,1.000323,0.951111,0.951004,120,1
5,0.912687,0.002,0.937,0.29421,-0.00026,-0.000001,0.999853,0.955392,0.955347,120,1
5,0.892434,0.004,0.922,0.326601,0.000117,0.000001,0.999994,0.944703,0.944687,120,1
5,0.880065,-0.032,0.912,0.345059,0.000055,-0.000002,1.000545,0.938111,0.938118,120,1
5,0.911719,-0.009,0.936,0.295959,0.000297,-0.000002,1.000263,0.95487,0.95484,120,1
5,0.8959,0.009,0.925,0.321233,-0.000112,-0.000001,0.999796,0.946636,0.94652,120,1
5,0.919271,0.005,0.942,0.283037,0.000408,0.000003,1.000337,0.958811,0.958786,120,1
5,0.911804,-0.013,0.936,0.29585,-0.000173,0.000002,1.000376,0.954856,0.954884,120,1
5,0.914808,-0.011,0.938,0.29072,-0.000127,0.000001,1.000211,0.956533,0.956456,120,1
5,0.919759,-0.009,0.942,0.28204,0.000057,0,0.999841,0.959071,0.959041,120,1
5,0.920527,-0.011,0.943,0.280593,-0.000046,0,0.999505,0.959526,0.959441,120,1
5,0.916725,-0.016,0.94,0.287281,0.000127,-0.000002,0.999697,0.957491,0.957458,120,1
5,0.903708,-0.001,0.93,0.309233,-0.000257,0,1.000708,0.950589,0.950636,120,1
5,0.900832,-0.016,0.928,0.313601,0.000166,-0.000002,1.000021,0.949057,0.949122,120,1
5,0.910306,-0.243,0.935,0.298197,0.000006,-0.000001,0.999858,0.954027,0.9541,120,1
5,0.91116,0.009,0.936,0.296714,0.000034,0,0.999655,0.954529,0.954547,120,1
5,0.902567,0.04,0.929,0.310891,0.000063,0.000003,1.000166,0.950165,0.950035,120,1
